fecha,afluencia
2012-05-16,5132387
2012-05-17,4938759
2012-05-18,5081420
2012-05-19,4101647
2012-05-20,2578708
2012-05-21,5238327
2012-05-22,4885807
2012-05-23,4892014
2012-05-24,4780600
2012-05-25,5032859
2012-05-26,4101906
2012-05-27,2527575
2012-05-28,5228202
2012-05-29,4851082
2012-05-30,4949782
2012-05-31,4993150
2012-06-01,5162088
2012-06-02,4369217
2012-06-03,2611285
2012-06-04,5233517
2012-06-05,4873041
2012-06-06,4878404
2012-06-07,4809107
2012-06-08,5005443
2012-06-09,4116322
2012-06-10,2604450
2012-06-11,5137415
2012-06-12,4749931
2012-06-13,4776661
2012-06-14,4847139
2012-06-15,5120500
2012-06-16,4198632
2012-06-17,2552446
2012-06-18,5138186
2012-06-19,4705339
2012-06-20,4667240
2012-06-21,4603213
2012-06-22,4585124
2012-06-23,3825951
2012-06-24,2363380
2012-06-25,4749140
2012-06-26,4223785
2012-06-27,3297323
2012-06-28,2849083
2012-06-29,3022429
2012-06-30,2939897
2012-07-01,2257522
2012-07-02,5057783
2012-07-03,4749417
2012-07-04,4712335
2012-07-05,4599727
2012-07-06,4623222
2012-07-07,3851083
2012-07-08,2367887
2012-07-09,4796951
2012-07-10,4496742
2012-07-11,4555493
2012-07-12,4476414
2012-07-13,4666842
2012-07-14,3847742
2012-07-15,2444525
2012-07-16,4882711
2012-07-17,4522034
2012-07-18,4473035
2012-07-19,4433145
2012-07-20,4559652
2012-07-21,3829807
2012-07-22,2474414
2012-07-23,4714523
2012-07-24,4410736
2012-07-25,4458312
2012-07-26,4409800
2012-07-27,4607181
2012-07-28,3853202
2012-07-29,2427836
2012-07-30,4970434
2012-07-31,4754291
2012-08-01,4848850
2012-08-02,4763727
2012-08-03,4808241
2012-08-04,3946348
2012-08-05,2552424
2012-08-06,5277831
2012-08-07,4784540
2012-08-08,4851460
2012-08-09,4723663
2012-08-10,4689298
2012-08-11,3833827
2012-08-12,2396080
2012-08-13,5243744
2012-08-14,5033178
2012-08-15,5134630
2012-08-16,5051708
2012-08-17,5107081
2012-08-18,4109448
2012-08-19,2571003
2012-08-20,5204988
2012-08-21,4813012
2012-08-22,4820383
2012-08-23,4674255
2012-08-24,4855415
2012-08-25,4044058
2012-08-26,2536972
2012-08-27,5325378
2012-08-28,4979899
2012-08-29,4886648
2012-08-30,4933334
2012-08-31,5228460
2012-09-01,4358508
2012-09-02,2813287
2012-09-03,5547224
2012-09-04,5035362
2012-09-05,5013617
2012-09-06,4849105
2012-09-07,5021570
2012-09-08,4160056
2012-09-09,2655114
2012-09-10,5428327
2012-09-11,5013826
2012-09-12,4931173
2012-09-13,4968251
2012-09-14,5207571
2012-09-15,3611159
2012-09-16,2124822
2012-09-17,4947719
2012-09-18,5093122
2012-09-19,4957196
2012-09-20,4897155
2012-09-21,5079555
2012-09-22,4131377
2012-09-23,2578887
2012-09-24,5413164
2012-09-25,4989995
2012-09-26,4937209
2012-09-27,4989043
2012-09-28,5407681
2012-09-29,4360272
2012-09-30,2644215
2012-10-01,5548665
2012-10-02,5037069
2012-10-03,5093244
2012-10-04,4994322
2012-10-05,5225386
2012-10-06,4286857
2012-10-07,2639396
2012-10-08,5383697
2012-10-09,4978237
2012-10-10,5031749
2012-10-11,4992484
2012-10-12,5165928
2012-10-13,4301047
2012-10-14,2708296
2012-10-15,5639798
2012-10-16,5232186
2012-10-17,5071778
2012-10-18,4960607
2012-10-19,5071387
2012-10-20,4201998
2012-10-21,2609322
2012-10-22,5271278
2012-10-23,4871526
2012-10-24,4832824
2012-10-25,4816405
2012-10-26,4995728
2012-10-27,4139553
2012-10-28,2796224
2012-10-29,5116290
2012-10-30,4839224
2012-10-31,4872488
2012-11-01,4741118
2012-11-02,3195361
2012-11-03,3354232
2012-11-04,2347589
2012-11-05,5068430
2012-11-06,5141065
2012-11-07,5329956
2012-11-08,5176599
2012-11-09,5441746
2012-11-10,4315785
2012-11-11,2780850
2012-11-12,5143339
2012-11-13,5154435
2012-11-14,5336969
2012-11-15,5394825
2012-11-16,5509837
2012-11-17,4506459
2012-11-18,2871201
2012-11-19,3057890
2012-11-20,5076371
2012-11-21,5285209
2012-11-22,5303912
2012-11-23,5467411
2012-11-24,4321208
2012-11-25,2804367
2012-11-26,5140786
2012-11-27,5160344
2012-11-28,5334964
2012-11-29,5244765
2012-11-30,5563907
2012-12-01,3788853
2012-12-02,2935562
2012-12-03,5165142
2012-12-04,5329284
2012-12-05,5292620
2012-12-06,5302487
2012-12-07,5559997
2012-12-08,4458787
2012-12-09,2962205
2012-12-10,5134056
2012-12-11,5248065
2012-12-12,4807573
2012-12-13,5114989
2012-12-14,5353299
2012-12-15,4405268
2012-12-16,3150897
2012-12-17,4885504
2012-12-18,4926048
2012-12-19,4982409
2012-12-20,5025395
2012-12-21,5044891
2012-12-22,4255714
2012-12-23,3106832
2012-12-24,3208901
2012-12-25,1783698
2012-12-26,3986109
2012-12-27,4143065
2012-12-28,4316937
2012-12-29,3698251
2012-12-30,2685565
2012-12-31,2956462
2013-01-01,1808555
2013-01-02,3913511
2013-01-03,4472255
2013-01-04,4634481
2013-01-05,4024770
2013-01-06,2428050
2013-01-07,4636578
2013-01-08,4717316
2013-01-09,4769644
2013-01-10,4889862
2013-01-11,4917740
2013-01-12,3963287
2013-01-13,2599537
2013-01-14,4807844
2013-01-15,4983114
2013-01-16,5101955
2013-01-17,4988506
2013-01-18,5057275
2013-01-19,4076082
2013-01-20,2578509
2013-01-21,4825112
2013-01-22,4905991
2013-01-23,5076327
2013-01-24,5065005
2013-01-25,5249433
2013-01-26,4119235
2013-01-27,2614152
2013-01-28,5074979
2013-01-29,5078148
2013-01-30,5243673
2013-01-31,5228196
2013-02-01,5438583
2013-02-02,4136880
2013-02-03,2550104
2013-02-04,2888348
2013-02-05,5045434
2013-02-06,5201840
